                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.41613,                0.30828,                0.88613,                0.72482,                0.72145,                0.72763,                0.54321,                0.85229,                 1.0536,                 1.1098,              0.0001205,              0.0001205,              0.0001205
                     71,                0.41698,                0.30855,                0.88786,                0.74259,                0.69987,                0.73252,                0.55022,                0.85502,                 1.0758,                  1.116,               0.000115,               0.000115,               0.000115
                     72,                0.41123,                0.30644,                0.89039,                0.77693,                0.68858,                0.74201,                0.55451,                0.86007,                 1.0594,                  1.117,              0.0001095,              0.0001095,              0.0001095
                     73,                 0.4111,                0.30681,                 0.8861,                0.75937,                0.70822,                0.73536,                0.55312,                0.84815,                 1.0673,                 1.1089,               0.000104,               0.000104,               0.000104
                     74,                0.41053,                0.30226,                0.88803,                0.75535,                0.71405,                0.73813,                0.55259,                  0.851,                 1.0796,                 1.1081,               9.85e-05,               9.85e-05,               9.85e-05
                     75,                0.40022,                0.29857,                0.88488,                0.73471,                0.72909,                0.73978,                0.54982,                0.85992,                 1.0642,                 1.1157,                9.3e-05,                9.3e-05,                9.3e-05
                     76,                0.40418,                0.29666,                0.88612,                 0.7329,                0.71338,                 0.7339,                0.55137,                0.85365,                 1.0499,                 1.1146,               8.75e-05,               8.75e-05,               8.75e-05
                     77,                 0.4011,                0.29633,                0.88392,                0.75972,                0.69351,                0.73443,                0.55168,                  0.849,                 1.0758,                 1.1077,                8.2e-05,                8.2e-05,                8.2e-05
                     78,                0.39989,                0.29614,                0.88566,                 0.7675,                0.69573,                0.73292,                0.55143,                 0.8529,                 1.0763,                 1.1121,               7.65e-05,               7.65e-05,               7.65e-05
                     79,                 0.3982,                0.29601,                0.88606,                0.71685,                 0.7286,                0.73417,                0.54825,                0.86235,                 1.0439,                 1.1153,                7.1e-05,                7.1e-05,                7.1e-05
                     80,                0.39666,                0.28894,                0.88223,                0.72715,                0.71569,                0.72874,                0.54885,                0.85833,                 1.0657,                 1.1122,               6.55e-05,               6.55e-05,               6.55e-05
                     81,                0.35632,                0.27169,                0.85786,                 0.7505,                0.69481,                0.72343,                 0.5354,                0.85855,                 1.0484,                 1.1227,                  6e-05,                  6e-05,                  6e-05
                     82,                0.33832,                0.25145,                0.84797,                 0.7649,                0.69662,                0.73495,                0.54556,                0.85085,                  1.023,                 1.1204,               5.45e-05,               5.45e-05,               5.45e-05
                     83,                0.33695,                0.25269,                0.84823,                0.76619,                0.70088,                0.73469,                0.54915,                0.85906,                 1.0442,                 1.1276,                4.9e-05,                4.9e-05,                4.9e-05
                     84,                0.33353,                0.24822,                0.84694,                0.72752,                0.73424,                0.73692,                0.55004,                0.85455,                 1.0379,                 1.1172,               4.35e-05,               4.35e-05,               4.35e-05
                     85,                 0.3253,                0.24179,                0.84447,                0.72112,                0.71755,                0.73579,                0.54572,                0.86178,                 1.0548,                 1.1293,                3.8e-05,                3.8e-05,                3.8e-05
                     86,                0.32546,                0.24381,                 0.8459,                0.73409,                0.72108,                0.74014,                0.55114,                0.86036,                 1.0672,                 1.1247,               3.25e-05,               3.25e-05,               3.25e-05
                     87,                0.31306,                0.23708,                0.84118,                0.73676,                0.72482,                0.73982,                0.54985,                0.86576,                 1.0521,                 1.1327,                2.7e-05,                2.7e-05,                2.7e-05
                     88,                0.31455,                0.23443,                0.84143,                0.74126,                0.71926,                0.73992,                0.55081,                0.85563,                 1.0562,                 1.1228,               2.15e-05,               2.15e-05,               2.15e-05
                     89,                 0.3105,                0.23524,                 0.8385,                0.74229,                0.72773,                0.73958,                 0.5521,                 0.8545,                 1.0542,                 1.1205,                1.6e-05,                1.6e-05,                1.6e-05
                     90,                0.30718,                0.23144,                0.83739,                0.74021,                0.72362,                0.73925,                0.55151,                 0.8538,                 1.0604,                 1.1175,               1.05e-05,               1.05e-05,               1.05e-05
